date_only,total_volume,avg_leverage,total_pnl,avg_pnl,trades,classification
2024-05-11,0,,0,0.0,10,Neutral
2024-05-12,0,,0,0.0,456,Greed
2024-06-01,0,,0,0.0,22,Greed
2024-06-02,0,,0,0.0,1088,Greed
2024-06-03,0,,0,0.0,82,Greed
2024-06-04,0,,0,0.0,16,Greed
2024-06-05,0,,0,0.0,9,Extreme greed
2024-06-06,0,,0,0.0,234,Extreme greed
2024-06-07,0,,0,0.0,24,Extreme greed
2024-06-08,0,,0,0.0,107,Greed
2024-06-09,0,,0,0.0,42,Extreme greed
2024-06-10,0,,0,0.0,22,Greed
2024-06-11,0,,0,0.0,15,Greed
2024-06-12,0,,0,0.0,403,Greed
2024-07-01,0,,0,0.0,97,Neutral
2024-07-02,0,,0,0.0,15,Neutral
2024-07-04,0,,0,0.0,23,Fear
2024-07-05,0,,0,0.0,18,Fear
2024-07-06,0,,0,0.0,440,Fear
2024-07-07,0,,0,0.0,10,Fear
2024-07-08,0,,0,0.0,33,Fear
2024-07-10,0,,0,0.0,21,Fear
2024-07-11,0,,0,0.0,113,Fear
2024-07-12,0,,0,0.0,304,Fear
2024-08-01,0,,0,0.0,128,Neutral
2024-08-02,0,,0,0.0,10,Greed
2024-08-03,0,,0,0.0,67,Fear
2024-08-04,0,,0,0.0,30,Fear
2024-08-05,0,,0,0.0,13,Fear
2024-08-06,0,,0,0.0,29,Extreme fear
2024-08-07,0,,0,0.0,1,Fear
2024-08-08,0,,0,0.0,9,Extreme fear
2024-08-09,0,,0,0.0,1,Neutral
2024-08-10,0,,0,0.0,36,Fear
2024-08-11,0,,0,0.0,39,Fear
2024-08-12,0,,0,0.0,420,Fear
2024-09-01,0,,0,0.0,70,Fear
2024-09-03,0,,0,0.0,117,Fear
2024-09-04,0,,0,0.0,3,Fear
2024-09-05,0,,0,0.0,28,Fear
2024-09-06,0,,0,0.0,17,Extreme fear
2024-09-07,0,,0,0.0,15,Extreme fear
2024-09-08,0,,0,0.0,144,Fear
2024-09-09,0,,0,0.0,2,Fear
2024-09-10,0,,0,0.0,14,Fear
2024-09-11,0,,0,0.0,86,Fear
2024-09-12,0,,0,0.0,539,Fear
2024-10-01,0,,0,0.0,193,Neutral
2024-10-03,0,,0,0.0,42,Fear
2024-10-04,0,,0,0.0,41,Fear
2024-10-05,0,,0,0.0,22,Neutral
2024-10-06,0,,0,0.0,53,Neutral
2024-10-07,0,,0,0.0,56,Neutral
2024-10-08,0,,0,0.0,88,Neutral
2024-10-09,0,,0,0.0,3,Neutral
2024-10-10,0,,0,0.0,16,Fear
2024-10-11,0,,0,0.0,173,Fear
2024-10-12,0,,0,0.0,1596,Neutral
2024-11-01,0,,0,0.0,21,Extreme greed
2024-11-02,0,,0,0.0,34,Greed
2024-11-03,0,,0,0.0,42,Greed
2024-11-04,0,,0,0.0,16,Greed
2024-11-05,0,,0,0.0,9,Greed
2024-11-06,0,,0,0.0,123,Greed
2024-11-07,0,,0,0.0,19,Extreme greed
2024-11-08,0,,0,0.0,24,Extreme greed
2024-11-09,0,,0,0.0,1,Extreme greed
2024-11-10,0,,0,0.0,26,Extreme greed
2024-11-11,0,,0,0.0,373,Extreme greed
2024-11-12,0,,0,0.0,1221,Extreme greed
2024-12-01,0,,0,0.0,7,Extreme greed
2024-12-02,0,,0,0.0,16,Extreme greed
2024-12-03,0,,0,0.0,8,Extreme greed
2024-12-04,0,,0,0.0,129,Extreme greed
2024-12-05,0,,0,0.0,23,Extreme greed
2024-12-06,0,,0,0.0,254,Greed
2024-12-07,0,,0,0.0,19,Extreme greed
2024-12-08,0,,0,0.0,48,Extreme greed
2024-12-10,0,,0,0.0,10,Extreme greed
2024-12-11,0,,0,0.0,171,Greed
2024-12-12,0,,0,0.0,1932,Extreme greed
2025-01-01,0,,0,0.0,96,Greed
2025-01-02,0,,0,0.0,634,Greed
2025-01-03,0,,0,0.0,174,Greed
2025-01-04,0,,0,0.0,192,Greed
2025-01-05,0,,0,0.0,1230,Greed
2025-02-01,0,,0,0.0,361,Greed
2025-02-02,0,,0,0.0,1319,Greed
2025-02-03,0,,0,0.0,532,Fear
2025-02-04,0,,0,0.0,1076,Greed
2025-03-01,0,,0,0.0,508,Extreme fear
2025-03-02,0,,0,0.0,2380,Fear
2025-03-03,0,,0,0.0,1482,Fear
2025-03-04,0,,0,0.0,1748,Extreme fear
2025-04-01,0,,0,0.0,371,Fear
2025-04-02,0,,0,0.0,2512,Fear
2025-04-03,0,,0,0.0,2402,Fear
2025-04-04,0,,0,0.0,1272,Fear
2025-05-01,0,,0,0.0,239,Neutral
2025-05-02,0,,0,0.0,1297,Greed
2025-05-03,0,,0,0.0,1660,
2025-05-04,0,,0,0.0,360,
2025-06-01,0,,0,0.0,573,
2025-06-02,0,,0,0.0,1703,
2025-06-03,0,,0,0.0,760,
2025-06-04,0,,0,0.0,1048,
2025-07-01,0,,0,0.0,637,
2025-07-02,0,,0,0.0,1524,
2025-07-03,0,,0,0.0,2552,
2025-07-04,0,,0,0.0,2814,
2025-08-01,0,,0,0.0,1039,
2025-08-02,0,,0,0.0,575,
2025-08-03,0,,0,0.0,529,
2025-08-04,0,,0,0.0,943,
2025-09-01,0,,0,0.0,522,
2025-09-02,0,,0,0.0,764,
2025-09-03,0,,0,0.0,1422,
2025-09-04,0,,0,0.0,3967,
2025-10-01,0,,0,0.0,819,
2025-10-02,0,,0,0.0,889,
2025-10-03,0,,0,0.0,2911,
2025-10-04,0,,0,0.0,2127,
2025-11-01,0,,0,0.0,283,
2025-11-02,0,,0,0.0,848,
2025-11-03,0,,0,0.0,3286,
2025-11-04,0,,0,0.0,1096,
2025-12-01,0,,0,0.0,602,
2025-12-02,0,,0,0.0,1031,
2025-12-03,0,,0,0.0,3968,
2025-12-04,0,,0,0.0,2109,
